PairID	type	plink.IBD.PI_HAT
E660.13-S51441.T	QCarray	0.0411
E660.13-S51448.T	QCarray	0
E660.13-S51449.T	QCarray	0
E660.13-S51459.T	QCarray	0
E660.13-S51460.T	QCarray	0.0519
E660.13-S51461.T	QCarray	0
E660.13-S51466.T	QCarray	0
E660.13-S51466.N	QCarray	0
E660.13-S51468.N	QCarray	0
E660.13-S51475.T	QCarray	0
E660.13-S51480.T	QCarray	0
E660.13-S51490.T	QCarray	0
E660.13-S51491.N	QCarray	0
E660.13-S51480.N	QCarray	0
E660.13-S51482.T	QCarray	0
E660.13-E337.2	QCarray	0.0227
E660.13-E337.03	QCarray	0.0396
E660.13-E337.07	QCarray	0
E660.13-E540.20	QCarray	0.0542
E555.07-E660.14	QCarray	0
E555.07-E373.57	QCarray	0
E555.07-E373.59	QCarray	0
E555.07-E373.65	QCarray	0
E555.07-E389.47	QCarray	0
E555.07-E337.9	QCarray	0
E555.07-E775.02	QCarray	0
E555.07-E775.04	QCarray	0
E555.07-E660.12	QCarray	0.1204
E555.07-E772.13	QCarray	0
E555.07-E660.11	QCarray	0.0884
E555.07-E772.16	QCarray	0
E555.07-E660.10	QCarray	0
E555.07-E620.10	QCarray	0
E555.07-E741.18	QCarray	0
E555.07-E620.09	QCarray	0
E555.07-E731.01	QCarray	0
E555.07-E775.13	QCarray	0
E555.07-E500.24	QCarray	0
E555.07-S51423.T	QCarray	0.0189
E555.07-S51425.T	QCarray	0
E555.07-S51434.T	QCarray	0
E555.07-S51435.T	QCarray	0
E555.07-S51436.T	QCarray	0
E555.07-S51445.T	QCarray	0
E555.07-S51446.T	QCarray	0
E555.07-S51540.T	QCarray	0.0254
E555.07-S51451.T	QCarray	0
E555.07-S51453.T	QCarray	0
E555.07-S51454.T	QCarray	0
E555.07-S51455.T	QCarray	0.0179
E555.07-S51458.T	QCarray	0
E555.07-S51468.T	QCarray	0
E555.07-S51472.T	QCarray	0
E555.07-S51481.T	QCarray	0.0308
E555.07-S51484.T	QCarray	0
E555.07-S51485.T	QCarray	0
E555.07-S51486.T	QCarray	0.0224
E555.07-S51487.T	QCarray	0
E555.07-S51417.T	QCarray	0.0499
E555.07-S51418.T	QCarray	0
E555.07-S51420.T	QCarray	0
E555.07-S51424.T	QCarray	0
E555.07-S51427.T	QCarray	0.053
E555.07-S51429.T	QCarray	0.0385
E555.07-S51430.T	QCarray	0.0529
E555.07-S51431.T	QCarray	0
E555.07-S51432.T	QCarray	0.0318
E555.07-S51441.T	QCarray	0
E555.07-S51448.T	QCarray	0
E555.07-S51449.T	QCarray	0.0349
E555.07-S51459.T	QCarray	0.0345
E555.07-S51460.T	QCarray	0
E555.07-S51461.T	QCarray	0.0149
E555.07-S51466.T	QCarray	0.0379
E555.07-S51466.N	QCarray	0.0405
E555.07-S51468.N	QCarray	0.0579
E555.07-S51475.T	QCarray	0
E555.07-S51480.T	QCarray	0
E555.07-S51490.T	QCarray	0.0398
E555.07-S51491.N	QCarray	0.0443
E555.07-S51480.N	QCarray	0
E555.07-S51482.T	QCarray	0
E555.07-E337.2	QCarray	0
E555.07-E337.03	QCarray	0
E555.07-E337.07	QCarray	0.0281
E555.07-E540.20	QCarray	0
E660.14-E373.57	QCarray	0.0719
E660.14-E373.59	QCarray	0.0139
E660.14-E373.65	QCarray	0
E660.14-E389.47	QCarray	0.0791
E660.14-E337.9	QCarray	0.0471
E660.14-E775.02	QCarray	0
E660.14-E775.04	QCarray	0
E660.14-E660.12	QCarray	0.1777
E660.14-E772.13	QCarray	0
