HPV.subtype	lm.pvalue	lm.fdr	lm.status
HPV16	0.0279048854919147	0.125571984713616	No Change
HPV18	0.604072344412613	0.67958138746419	No Change
HPV31	0.172551316416325	0.429331063037399	No Change
HPV33	0.310409001766891	0.558736203180404	No Change
HPV45	0.842317764965846	0.842317764965846	No Change
HPV58	6.64058036813752e-05	0.000597652233132377	Variable
HPV59	0.442613659511706	0.569074705086479	No Change
HPV67	0.375727901918302	0.563591852877452	No Change
HPV73	0.190813805794399	0.429331063037399	No Change
