HPV.subtype	lm.pvalue	lm.fdr	lm.status
HPV16	0.400533160867172	0.51497120682922	No Change
HPV18	0.357632483652956	0.51497120682922	No Change
HPV31	0.0720934168108049	0.324420375648622	No Change
HPV33	0.188549333439745	0.343444143629233	No Change
HPV45	0.92123088050096	0.92123088050096	No Change
HPV58	1.82529415272204e-09	1.64276473744983e-08	Variable
HPV59	0.847516322328876	0.92123088050096	No Change
HPV67	0.185531250753724	0.343444143629233	No Change
HPV73	0.190802302016241	0.343444143629233	No Change
