HPV.subtype	AdenoTypes.grp.avg.ab	SCC.grp.avg.ab	grp.fc	limma.pvalue	limma.fdr	limma.status
HPV16	52.47	36.9	-1.41	0.658232253421853	0.868269644831707	No Change
HPV18	30.58	16.56	-1.8	0.304229786179457	0.834852532431082	No Change
HPV31	0.05	4.94	5.65	0.572274922332714	0.868269644831707	No Change
HPV33	0.18	4.37	4.54	0.92329491559762	0.92329491559762	No Change
HPV45	0.04	8.15	8.81	0.206485712632215	0.834852532431082	No Change
HPV58	12.22	18.68	1.49	0.34742839331722	0.834852532431082	No Change
HPV59	0	0.6	1.6	0.747794034110655	0.868269644831707	No Change
HPV67	0.07	3.04	3.79	0.771795239850406	0.868269644831707	No Change
HPV73	0	3.52	4.52	0.37104556996937	0.834852532431082	No Change
