HPV.subtype	bGLM.pvalue	bGLM.fdr	bGLM.status
HPV16	0.842090691763903	0.996752269279525	No Change
HPV18	0.842090691763905	0.996752269279525	No Change
HPV31	0.994595860983198	0.996752269279525	No Change
HPV33	0.99661439821489	0.996752269279525	No Change
HPV45	0.994495620744349	0.996752269279525	No Change
HPV58	0.554553148569345	0.996752269279525	No Change
HPV59	0.996752269279525	0.996752269279525	No Change
HPV67	0.996614398214901	0.996752269279525	No Change
HPV73	0.99661439821492	0.996752269279525	No Change
