HPV.subtype	bGLM.pvalue	bGLM.fdr	bGLM.status
HPV16	0.0337322222656559	0.151795000195452	No Change
HPV18	0.0110193927837017	0.0991745350533152	No Change
HPV31	0.996031434447212	0.996127358098475	No Change
HPV33	0.996127358098475	0.996127358098475	No Change
HPV45	0.993632344391565	0.996127358098475	No Change
HPV58	0.894083506317092	0.996127358098475	No Change
HPV59	0.993721642259436	0.996127358098475	No Change
HPV67	0.996127358093855	0.996127358098475	No Change
HPV73	0.996127358096877	0.996127358098475	No Change
