HPV.subtype	AdenoTypes.grp.avg.ab	SCC.grp.avg.ab	grp.fc	limma.pvalue	limma.fdr	limma.status
HPV16	58.08	38.21	-1.51	0.392241433922961	0.639611817945623	No Change
HPV18	37.55	20.03	-1.83	0.38177709273047	0.639611817945623	No Change
HPV31	0	5.76	6.76	0.635415295698791	0.66377052370951	No Change
HPV33	0.02	5.83	6.68	0.479708863459217	0.639611817945623	No Change
HPV45	0.05	10.84	11.28	0.390490826208386	0.639611817945623	No Change
HPV58	3.31	8.6	2.23	0.29839252419768	0.639611817945623	No Change
HPV67	0	4.06	5.06	0.457987806250429	0.639611817945623	No Change
HPV73	0	4.69	5.69	0.66377052370951	0.66377052370951	No Change
