HPV.subtype	lm.pvalue	lm.fdr	lm.status
HPV16	0.10286270505407	0.259976697163972	No Change
HPV18	0.049994896354199	0.224977033593896	No Change
HPV31	0.173317798109315	0.259976697163972	No Change
HPV33	0.406838003222356	0.406838003222356	No Change
HPV45	0.164604251547313	0.259976697163972	No Change
HPV58	2.97467961771037e-06	2.67721165593933e-05	Variable
HPV59	0.160483964734202	0.259976697163972	No Change
HPV67	0.305111604637118	0.383051189050044	No Change
HPV73	0.340489945822261	0.383051189050044	No Change
