HPV.subtype	bGLM.pvalue	bGLM.fdr	bGLM.status
HPV16	0.545370972559266	0.807398269430556	No Change
HPV18	0.567071285053423	0.807398269430556	No Change
HPV31	0.232542308974082	0.807398269430556	No Change
HPV33	0.0986243193366865	0.807398269430556	No Change
HPV45	0.438715683039483	0.807398269430556	No Change
HPV58	0.807398269430556	0.807398269430556	No Change
HPV59	0.785382456062419	0.807398269430556	No Change
HPV67	0.761156401272152	0.807398269430556	No Change
HPV73	0.304771870823502	0.807398269430556	No Change
