HPV.subtype	lm.pvalue	lm.fdr	lm.status
HPV16	0.966779168663141	0.966779168663141	No Change
HPV18	0.525839173816955	0.833976554191348	No Change
HPV31	0.941912392480995	0.966779168663141	No Change
HPV33	0.0667781748383499	0.601003573545149	No Change
HPV45	0.374168700677415	0.833976554191348	No Change
HPV58	0.648648431037715	0.833976554191348	No Change
HPV59	0.385896053065947	0.833976554191348	No Change
HPV67	0.598301999866472	0.833976554191348	No Change
HPV73	0.358265335316759	0.833976554191348	No Change
