HPV.subtype	lm.pvalue	lm.fdr	lm.status
HPV16	0.622565321653023	0.885826414932382	No Change
HPV18	0.695875860761736	0.885826414932382	No Change
HPV31	0.927934849762476	0.927934849762476	No Change
HPV33	0.055906236856056	0.490468843964487	No Change
HPV45	0.787401257717673	0.885826414932382	No Change
HPV58	0.520255601541783	0.885826414932382	No Change
HPV59	0.108993076436553	0.490468843964487	No Change
HPV67	0.588496238270937	0.885826414932382	No Change
HPV73	0.343311766044611	0.885826414932382	No Change
