HPV.subtype	hpv.cor	limma.pvalue	limma.fdr	limma.status
HPV16	-0.027351629397191	0.995977482210571	0.995977482210571	No Change
HPV18	-0.113990390070016	0.939302997446003	0.995977482210571	No Change
HPV31	0.034000423804219	0.85135331264584	0.995977482210571	No Change
HPV33	0.284522338181576	0.358953621122619	0.995977482210571	No Change
HPV45	-0.0750982354177151	0.588475740263516	0.995977482210571	No Change
HPV58	0.107551606722766	0.7834779184795	0.995977482210571	No Change
HPV67	-0.101997581842152	0.93758187543412	0.995977482210571	No Change
HPV73	0.162005745973078	0.134690026410582	0.995977482210571	No Change
