HPV.subtype	lm.pvalue	lm.fdr	lm.status
HPV16	0.748080465733288	0.841590523949949	No Change
HPV18	0.380306985984258	0.707663081048916	No Change
HPV31	0.900861960534679	0.900861960534679	No Change
HPV33	0.0859036910286266	0.707663081048916	No Change
HPV45	0.298197119710312	0.707663081048916	No Change
HPV58	0.582577384344233	0.749028065585443	No Change
HPV59	0.166163520940247	0.707663081048916	No Change
HPV67	0.533768083287709	0.749028065585443	No Change
HPV73	0.393146156138287	0.707663081048916	No Change
