HPV.subtype	bGLM.pvalue	bGLM.fdr	bGLM.status
HPV16	0.746953296274741	0.856029914920746	No Change
HPV18	0.373688713645723	0.684571681087098	No Change
HPV31	0.760915479929552	0.856029914920746	No Change
HPV33	0.0931980176963659	0.684571681087098	No Change
HPV45	0.380317600603943	0.684571681087098	No Change
HPV58	0.896842153832362	0.896842153832362	No Change
HPV59	0.331028987361962	0.684571681087098	No Change
HPV67	0.719432471606311	0.856029914920746	No Change
HPV73	0.302060174338567	0.684571681087098	No Change
