HPV.subtype	bGLM.pvalue	bGLM.fdr	bGLM.status
HPV16	0.13738444874854	0.412153346245621	No Change
HPV18	0.113649063891197	0.412153346245621	No Change
HPV31	0.930242224890671	0.996368096154088	No Change
HPV33	0.396734996063796	0.714122992914834	No Change
HPV45	0.106086614552194	0.412153346245621	No Change
HPV58	0.988410611218074	0.996368096154088	No Change
HPV59	0.827831564821114	0.996368096154088	No Change
HPV67	0.384324003321355	0.714122992914834	No Change
HPV73	0.996368096154088	0.996368096154088	No Change
