HPV.subtype	bGLM.pvalue	bGLM.fdr	bGLM.status
HPV16	0.540159640791287	0.607679595890198	No Change
HPV18	0.73603025777604	0.73603025777604	No Change
HPV31	0.413568065572128	0.607679595890198	No Change
HPV33	0.365373209128222	0.607679595890198	No Change
HPV45	0.1814869693603	0.544460908080901	No Change
HPV58	0.0446430683606243	0.401787615245619	No Change
HPV59	0.524758312791551	0.607679595890198	No Change
HPV67	0.425787231443199	0.607679595890198	No Change
HPV73	0.149325685032246	0.544460908080901	No Change
