HPV.subtype	lm.pvalue	lm.fdr	lm.status
HPV16	0.3196997198617	0.62639555406937	No Change
HPV18	0.0647214703452206	0.582493233106986	No Change
HPV31	0.66178632971565	0.744509620930107	No Change
HPV33	0.415135004925326	0.62639555406937	No Change
HPV45	0.223976055873552	0.62639555406937	No Change
HPV58	0.532478856670424	0.684615672861973	No Change
HPV59	0.761136863773584	0.761136863773584	No Change
HPV67	0.417597036046247	0.62639555406937	No Change
HPV73	0.151819059670445	0.62639555406937	No Change
