HPV.subtype	hpv.cor	limma.pvalue	limma.fdr	limma.status
HPV16	-0.0872571294674123	0.776770437605146	0.776770437605146	No Change
HPV18	0.135913414600727	0.742755938702425	0.776770437605146	No Change
HPV31	-0.0580686431149711	0.158668927800475	0.423117140801267	No Change
HPV33	0.137298126037348	0.00806047545604346	0.0644838036483477	No Change
HPV45	-0.179466836388794	0.33351128065084	0.444681707534453	No Change
HPV58	-0.056913316062278	0.0206976311779963	0.0827905247119854	No Change
HPV67	-0.135944507582856	0.328444683960074	0.444681707534453	No Change
HPV73	0.270276697015726	0.273831203095479	0.444681707534453	No Change
