HPV.subtype	FFPE.grp.avg.ab	Frozen.grp.avg.ab	grp.fc	limma.pvalue	limma.fdr	limma.status
HPV16	47.24	55.84	-1.18	0.834500655855099	0.834500655855099	No Change
HPV18	24.85	21.49	1.15	0.014843008902428	0.0190838685888361	No Change
HPV31	3.62	0	4.62	2.28485451749828e-11	1.02818453287423e-10	FFPE Up
HPV33	3.67	0	4.67	2.05875341139244e-13	1.85287807025319e-12	FFPE Up
HPV45	6.83	5.32	1.24	0.000842602149824027	0.00151668386968325	FFPE Up
HPV58	6.78	7.77	-1.13	2.77556670344776e-10	8.32670011034327e-10	No Change
HPV59	0	1.76	-2.76	0.739845692404335	0.832326403954877	No Change
HPV67	2.54	0	3.54	1.81881432227632e-07	4.09233222512173e-07	FFPE Up
HPV73	2.95	0	3.95	0.00274316481266886	0.00411474721900329	FFPE Up
