HPV.subtype	FFPE.grp.avg.ab	Frozen.grp.avg.ab	grp.fc	limma.pvalue	limma.fdr	limma.status
HPV16	42.93	55.88	-1.29	0.950993604923216	0.95241046530406	No Change
HPV18	20.85	21.49	-1.03	0.00434422322088057	0.00651633483132086	No Change
HPV31	3.25	0	4.25	1.64582859091115e-10	4.93748577273344e-10	FFPE Up
HPV33	2.92	0	3.92	3.22393077759038e-11	1.45076884991567e-10	FFPE Up
HPV45	5.35	5.32	1	0.00157102001436566	0.00282783602585819	No Change
HPV58	16.43	7.8	1.98	3.20750466383469e-14	2.88675419745123e-13	FFPE Up
HPV59	0.39	1.77	-1.99	0.95241046530406	0.95241046530406	No Change
HPV67	2.01	0	3.01	4.79099980928303e-08	1.07797495708868e-07	FFPE Up
HPV73	2.3	0	3.3	0.00509180087864239	0.00654660112968308	FFPE Up
